text,class
"Заказ отменили, хотя я ждал его весь день. Не хватает доставки после 23:00, хотелось бы продлить время работы. Как это курьер отменил мой заказ без звонка? Это какой-то замкнутый круг - добавляешь товар, а минимальная сумма все равно не достигнута. Было бы здорово, если бы приложение показывало местоположение курьера. Не проходит платеж, пришлось платить курьеру наличными. Корзинная скидка не работает с акционными товарами, и это неудобно.",32 46 38 9 5 48 24
"Корзинная скидка работает только на некоторые товары, хотелось бы изменений. Проблемы с активацией СберСпасибо, что делать?",24 45
"Больше не буду пользоваться этой доставкой. Удаляют товары из заказа без предупреждения. Организуйте места отдыха для курьеров между заказами. Им негде погреться в холодное время года. Это не вписывается ни в одну модную тенденцию. Курьер отменил мой заказ, хотя был почти на месте. Заказал пять товаров, а привезли только четыре. Куда делся пятый?",7 44 39 38 13
"Замороженные продукты приехали в обычном пакете, всё растаяло. Подключение к СберСпасибо постоянно выдает ошибки. Отметил, что нужен подъем на 5 этаж. Курьер отказался подниматься. Комментарии вообще смотрят?",31 45 17
"Худшая доставка, с которой я когда-либо сталкивался. Почему вы не доставляете в соседний город? Это же всего 20 минут езды. Заказ отменили из-за курьера, который даже не приехал. Платежи не проходят, постоянно сбои. Можно ли получить компенсацию за долгую доставку? Постоянные сбои при оплате через СБП. Оплата картой не прошла, что делать?",21 6 38 48 37 48 48
"Я не могу закончить заказ, потому что сумма все время падает ниже минимальной. Структура каталога слишком сложная, неудобно ориентироваться. Раньше доставка была намного быстрее, а теперь приходится ждать часами. Что случилось? Виноград наполовину засох. Мясо пришло уже испорченное, очень разочарован. Недопустимо удалять товары из заказа без уведомления клиента. Ни замены, ни извинений. Что-то это вообще не вписывается в современные тренды. Положили корм для кошек в тот же пакет с хлебом. Хотелось бы больше информации о том, как работает скидка в корзине. Я устал от ваших вечных опозданий. Ни разу не привезли заказ вовремя за последний месяц.",9 47 1 27 40 7 39 31 25 3
"Акция '2 по цене 1' не сработала в корзине. Почему? Почему доставка работает только до 22:00? Сделайте до полуночи. Это не соответствует современным модным тенденциям. Очень трудно понять, как работает скидка в корзине.",26 46 39 25
"Каталог слишком запутанный, сложно ориентироваться.",47
"Ужасный сервис. Часть заказа просто не доставили, не уведомив и не извинившись. Почему возврат денег занимает столько времени? Отметил, что звонок не работает. Курьер всё равно пытался звонить и не мог доставить. Зачем поле для комментариев? Интерфейс приложения оставляет желать лучшего, слишком сложно. Корзинная скидка применяется только к части товаров, это неудобно.",7 49 17 41 24
"Обеспечьте курьеров средствами защиты: масками, перчатками, антисептиками. Это важно для их безопасности. Ни одна тенденция не отражена здесь. Категории в каталоге названы как-то странно. Никогда не угадаешь, где искать нужный товар. Просил положить палочки для роллов. Забыли положить. Кто-нибудь читает комментарии к заказу? Сборщик положил корм для кошек вместе с моими продуктами. Это гигиенично?",44 39 47 17 31
"Почему в доставке отсутствует зубная паста, которую я заказывал? Постоянные проблемы с оплатой картой, приходится платить наличными. Я уже трижды пересобирал корзину. Это не заказ, а настоящее испытание терпения. Не ясно, почему итоговая сумма скидки меньше, чем я ожидал. Очень долго ждал, а заказ в итоге отменили. На сайте показывается наличие, а фактически ничего нет.",13 48 9 25 32 29
"Непонятно, почему скидка не применилась к определённым товарам. Ждал целый день, а в итоге привезли пустую коробку. Структура каталога слишком сложная, неудобно искать товары. Смешали товары для животных и продукты в одном пакете. Я устал добавлять случайные товары только для того, чтобы достичь минимальной суммы. Не хватает скидок на все товары в заказе, было бы круто, если бы их было больше. Хочу, чтобы доставка начиналась с 6 утра, сейчас неудобно.",25 13 47 31 9 23 46
"Увеличьте компенсацию за работу в ночное время. Сейчас ночные смены крайне невыгодны для курьеров. Отсутствие функции отслеживания курьера на карте снижает удобство использования сервиса. Невозможно нормально сделать заказ, когда цена постоянно скачет. Свёкла пришла вялая и сморщенная. Хотел заказать подарок другу, а тут минималка в три раза дороже самого подарка. Пришлось отказаться. Курьер отменил заказ, не позвонив заранее. Хотелось бы видеть скидки на следующий заказ для постоянных клиентов. Структура каталога неудобная, не могу найти нужное.",44 5 9 27 10 38 22 47
"Постоянно не могу оплатить бонусами СберСпасибо. Ужасно! Мой адрес находится в черте города, но доставка почему-то недоступна. Хочу получить скидку за долгую доставку курьера. Это какая-то загадка - собрать корзину так, чтобы сумма не изменилась в последний момент. Часть заказа перепутана, товары не те. Заказал, а на следующий день товара уже не было. Промокод из письма не принимается, пишет, что истек. Похоже, у вас вошло в привычку опаздывать с доставкой. Каждый раз одно и то же.",45 6 37 9 31 29 26 3
"Не удается оплатить заказ через приложение, постоянно сбои. Скидки из корзины и с витрины не складываются, это неудобно. Пытаюсь подключить СберСпасибо уже неделю, но постоянно выскакивает ошибка. Служба поддержки не помогает. Жду уже больше 30 минут, и заказ еще не передан курьеру.",48 24 45 35
"Совсем не тянет на модные тенденции. Заказ доставили очень быстро, я впечатлен. Я уже трижды пересобирал корзину из-за изменения минимальной суммы заказа. Отстой полнейший, не связывайтесь с этой компанией.",39 43 9 21
"Йогурт растекся по всему пакету, испортив остальные продукты. Ужасно! Почему нельзя дозвониться до поддержки? Автоответчик не решает проблему! Сосиски с неприятным запахом. Интерфейс приложения неудобный, все слишком сложно. Уже полгода жду, когда вы начнете доставлять в мой район. Сколько еще ждать? Сделайте доставку хотя бы до полуночи. Иногда очень нужно что-то срочно заказать вечером. СберСпасибо не подключается, не удается оплатить бонусами. Я чувствую себя как в казино - никогда не знаешь, какой будет финальная сумма. Долго ждал курьера, но заказ отменили перед самой доставкой.",14 30 27 41 6 46 45 9 32
"В заказе положили не тот товар, который я заказывал. Оказывается, вы не доставляете в наш жилой комплекс. Это серьезно ограничивает выбор для всех жителей. Не удается оплатить бонусами СберСпасибо, выдает ошибку. Это не соответствует современным стандартам. Не могу понять, как работает система скидок в корзине.",31 6 45 39 25
Постоянно нет нужных товаров вечером.,29
"Промокод на бесплатный десерт при заказе от 2000 рублей не действует. Неприятно удивлен тем, что часть товаров просто не доставили. Никакого уведомления, ничего. Мой заказ отменили из-за курьера, и никто не сообщил. Ваше 'время доставки' совершенно не соответствует действительности. Всегда жду в два раза дольше. Скидку на товар по акции не применили, хотя условия выполнены. Поиск работает медленно, не находит нужные товары. Проблемы с оплатой бонусами СберСпасибо, что делать? Ни одна тенденция не подходит к этому. Открыл посылку - а там пусто. Куда делся мой заказ? Прошло полчаса, а курьер еще не выехал.",26 7 38 2 26 47 45 39 13 35
"Это очень неудобно - постоянно следить за изменением суммы в корзине. Я не могу спланировать свои расходы, когда сумма заказа постоянно меняется. Почему курьер отменил доставку, когда я ждал его? Сборка затянулась, прошло уже больше часа. Промокод на скидку 25% на первый заказ не сработал. Это мой первый заказ!",9 9 38 35 26
"Непонятно, как работает скидка в корзине, хотелось бы больше ясности. Это не соответствует тенденциям, что происходит? Почему вы игнорируете целый район города? Здесь тоже живут люди, которые хотят заказывать. Фрукты все побитые, как будто их футболом играли по дороге. Постоянным клиентам могли бы предложить какие-то бонусы. Сервис оставляет желать лучшего. Часть заказа просто не привезли, не уведомив. Хочу, чтобы доставка начиналась с 6 утра, неудобно заказывать позже. Заказ пришел быстрее, чем ожидал.",25 39 6 14 22 7 46 43
"Товар куда-то исчез по пути ко мне. Кто за это ответит? Фрукты в ужасном состоянии, сразу видно, что испорчены. Очень жаль, что у вас нет доставки в наш район. Это большое упущение.",13 40 6
"Мясо испорчено, не могу его использовать. Сборщик положил химию для уборки вместе с продуктами. Это недопустимо! Я чувствую себя как в игре 'попади в диапазон цен'. Это нормально для доставки еды? Заказ пришел быстрее, чем обещали. Указала, что подъезд во дворе. Курьер искал с улицы. Неужели так сложно прочитать комментарий? Ждал курьера весь день, а заказ отменили. Поиск не понимает синонимы. Приходится перебирать кучу вариантов названий, чтобы найти нужное. Разочарован сервисом. Отменили часть заказа без уведомления и альтернатив. Почему вы не доставляете в студенческий городок? Здесь огромный потенциал для заказов.",40 31 9 43 17 32 47 7 6
"Очень долго возвращают деньги, прошло уже три недели. Заказ отменили, но деньги так и не вернулись. Прошло больше 30 минут, а заказ еще не передан курьеру. Крайне недоволен качеством обслуживания. Заказ привезли неполным, без объяснений. Возмущен тем, как обращаются с клиентами. Удаляют товары из заказа без предупреждения и альтернатив. СберСпасибо не подключается, как решить проблему? Прошло полчаса, а заказ еще не передан курьеру.",49 49 35 7 7 45 35
"Проблемы с оплатой через СБП, не проходит платеж. Приложение запутанное, сложно разобраться с функциями. Сервис меня устраивает.",48 41 20
"Больше никогда не воспользуюсь этой доставкой. Отменяют часть заказа без уведомления. Заказ собирается слишком долго, прошло 45 минут. Обещали скидку 20%, а в корзине цена полная. Хотел расплатиться кредитной картой, а курьер сказал, что принимает только дебетовые. Почему об этом не предупреждают заранее? Ужасный сервис! Вернул бракованный товар месяц назад, до сих пор жду возврата средств. Никому не рекомендую. Мой заказ отменили без объяснения причин. А я ждал уже больше часа! Привезли готовую еду, но она оказалась испорченной. Не довезли пакет риса, который был в моем заказе. Как так получилось? Отвратительно во всех отношениях, не советую.",7 35 26 48 49 32 40 13 21
"Добавьте отображение курьера на карте, чтобы клиенты могли лучше планировать свое время. Ваша служба отказалась доставить заказ, сказав, что мой адрес им недоступен. Это какое-то недоразумение! Очень неудобно пользоваться поиском в приложении. Заказ отменили без объяснения причин. Больше у вас заказывать не буду.",5 6 47 32
"Постоянные сбои при оплате через СБП. Не понимаю, почему нельзя организовать доставку хотя бы в соседний район. Это же не так далеко. Оказалось, что мой адрес находится вне зоны доставки. Это очень неудобно и ограничивает мой выбор. Отсутствие отображения курьера на карте создает неопределенность в ожидании. Очень неудобный поиск, не работает как надо. Нужно больше акций на популярные товары.",48 6 6 5 47 23
"Половину заказа не привезли. И даже не сказали почему. Заказанное вино прибыло с треснувшей бутылкой. Теперь все продукты пахнут алкоголем. Просто супер, доставка заняла меньше часа. Хотел оплатить покупку частично бонусами, частично картой, но система не позволила это сделать. Ограничение по способам оплаты — это ужасно! Полный провал, разочарован полностью. Каждый раз, когда я думаю, что закончил, оказывается, что сумма снова изменилась. Просил не добавлять лед в напитки. Всё равно добавили. Комментарии существуют для галочки? Оплата картой не проходит, приходится искать наличные.",13 14 43 48 21 9 17 48
"Почему нельзя подписаться на уведомления о поступлении?",29
"Сервис оставляет желать лучшего. Отменяют товары, не уведомляя и не предлагая замену. Что-то у вас с доставкой стало совсем плохо. Раньше привозили быстро, а теперь вечно опаздывают. У вас отличная служба доставки, но отсутствие скидок для постоянных клиентов расстраивает. Добавьте больше скидок на весь заказ, это сделает заказы привлекательнее.",7 1 22 23
"Складываю товары в корзину, а цена заказа постоянно меняется. В итоге переплатил больше, чем планировал. Курьер отменил доставку без объяснений, это неприемлемо. Очень разочарован, что не смогли доставить заказ по моему адресу. Зачем вообще указывать его на сайте? Мой заказ отменил курьер прямо перед домом. Опоздание на 50 минут - это неуважение к клиентам. Верните деньги за доставку!",9 38 6 38 37
"Недопустимо так работать с клиентами. Отменили товары без предупреждения и альтернатив.",7
"Расширьте зону доставки! Обидно, что не могу заказать у вас, живя в пределах города.",6
"Больше не буду пользоваться этим сервисом. Удаляют часть заказа без уведомления. Оплата через приложение не работает, приходится платить наличными. Скидка за самовывоз не учитывается при оформлении заказа. Оплата не проходит, пришлось использовать другую карту. Хочу компенсацию за задержку заказа. Почему доставка закрывается так рано? Сделайте до полуночи. Молоко оказалось прокисшим, хотя срок годности ещё не истёк.",7 48 26 48 37 46 27
"СберСпасибо не работает, не могу оплатить бонусами. Товар постоянно исчезает после обеда.",45 29
"Заказ отменили, хотя я ждал его несколько часов.",32
"Пожалуйста, продлите время работы доставки хотя бы до 23:00. Мороженое с истекшим сроком. Внутри уже кристаллы льда образовались.",46 15
"Курьер приехал без половины моего заказа. Что за безобразие? Расширьте, пожалуйста, географию доставки. Мой район совсем близко к вашей текущей зоне. Почему курица перешла дорогу?",13 6 19
"Минимальная сумма заказа просто космическая! Не у всех есть возможность тратить столько на одну доставку.",10
"Не действует скидка на товары со скидкой из витрины, это неправильно. Вместо молока положили сок, а я заказывал другое. Увеличьте базовую ставку курьеров. Сейчас они вынуждены работать сверхурочно, чтобы заработать. Скидка по промокоду из Instagram не применяется. Как так получается, что вы не доставляете в мой район? Он ведь не такой уж и отдаленный.",24 31 44 26 6
"Катастрофа, а не доставка продуктов. Прошу компенсировать задержку автоматически. Это похоже на какой-то баг в системе - цена не должна меняться после каждого действия.",21 37 9
"Скидка дня на овощи не применилась автоматически. Почему вы не доставляете в наш район? Мы что, живем на другой планете? Скидка по программе лояльности не учитывается при оформлении заказа. Ваша служба доставки игнорирует целый микрорайон. Теряете огромное количество потенциальных клиентов! Почему ваша зона доставки такая маленькая? Это ограничивает возможности для роста бизнеса.",26 6 26 6 6
"Не могу понять, почему вы не доставляете в наш район. Здесь много потенциальных клиентов. Интерфейс приложения слишком сложный, не нравится. Скидка на покупку от 5000 рублей не сработала, хотя в корзине товаров на 6000. Кошмарный сервис, больше никогда в жизни.",6 41 26 21
"Написал, что нужна бесконтактная доставка до 12:00. Привезли в 14:00 и вручили лично. Зачем нужны комментарии, если их не читают? Почему нет особых условий для тех, кто заказывает регулярно?",17 22
"Это совсем не тянет на современные тренды. Почему нельзя применить скидку ко всему заказу сразу? Не могу найти нужные функции, интерфейс неудобный. Обидно, когда из заказа пропадают товары без предупреждения. Хотя бы замену предложили бы! Очень жаль, что скидки с витрины и корзины не суммируются.",39 24 41 7 24
"Вы серьезно думаете, что кто-то верит в ваше заявленное время доставки? Оно никогда не соблюдается. Крайне расстроен работой доставки. Отменили часть заказа без предупреждения. Товара нет в наличии, хотя на сайте он указан. Больше не буду заказывать здесь. Отменяют часть заказа, не сообщая об этом. Товар исчезает до обеда, а потом больше не появляется.",2 7 29 7 29
"Не могу понять, почему скидки не суммируются. Не могу активировать бонусы СберСпасибо в приложении. Курьер самовольно отменил мой заказ, даже не позвонил. Скидки типа 'товар за 1 рубль' очень редки, хотелось бы больше таких акций.",24 45 38 23
"Прошло уже больше часа, а заказ все еще не собран. Почему не применяется скидка 7% за самовывоз из определённых пунктов? Заказал свежее молоко, а оно уже прокисло. Вы что, просроченные продукты отправляете?",35 26 15
"Купил консервы, думал, будут храниться долго, а у них срок годности через месяц заканчивается. Странно, что скидка по карте лояльности не суммируется с другими акциями. Добавьте функцию отслеживания курьера на карте, это значительно улучшит пользовательский опыт. Не ожидал, что доставленные овощи придется съесть в тот же день, чтобы не испортились. Очень неудобное приложение, сложно пользоваться. Скидка 25% на товары для животных не отображается в корзине. Очень разочарован, что вы не доставляете по моему адресу. Неужели нельзя расширить зону?",11 24 5 11 41 26 6
"Не понимаю логику вашей зоны доставки. Почему соседний дом обслуживаете, а мой - нет? Заказ был отменен, хотя я ждал его больше часа. Просто супер, заказ доставили за 30 минут. Ваши услуги классные, но хотелось бы иметь бонусы для постоянных клиентов. Пожалуйста, проводите больше акций на всю корзину. Совсем не в тренде, как так получилось? Почему курьер отменил заказ в последний момент? Не понимаю, почему нельзя доставить заказ всего на пару кварталов дальше вашей текущей зоны. После долгого ожидания заказ был отменен. Не довезли самое важное из заказа. Остальное теперь бесполезно.",6 32 43 22 23 39 38 6 32 13
"Мясо испорчено, хотя срок годности в порядке. Корзинная скидка действует только на часть товаров, хотелось бы изменений. Курьер отменил заказ прямо перед моим домом.",40 24 38
"Неудобный поиск, приходится долго искать товары. Жду уже почти час, и заказ еще не передан курьеру. Курьер отменил мой заказ, и я остался без продуктов. Доставка заняла меньше времени, чем ожидал. Слишком рано закрываетесь, нужно продлить время работы.",47 35 38 43 46
"Оформил заказ, а товар закончился. Хотелось бы видеть скидки на следующий заказ или для тех, кто регулярно заказывает. Приложение постоянно зависает, приходится перезагружать. Это очень неудобно - невозможно точно спланировать свои расходы на заказ. Не получается подключить СберСпасибо, выдает ошибку.",29 22 42 9 45
"Скидка по студенческому билету не применилась к заказу. Совсем не тянет на текущие тенденции.",26 39
"Добавьте, пожалуйста, функцию отображения курьера на карте. Это важно для клиентов. При оформлении заказа система не отображала мою карту. Пришлось вводить данные заново, потеряла кучу времени. Почему скидка отображается только на некоторых товарах? Очень недоволен тем, что вы не осуществляете доставку в мой район. Приходится искать альтернативы.",5 48 25 6
"Когда вы планируете охватить весь город доставкой? Сейчас половина районов игнорируется. Не могу понять, почему вы отказываетесь доставлять заказы в наш район. Мы что, на другой планете живем? ЦФЗ не обновляет ассортимент уже неделю. Фрукты и овощи у вас стоят как золото. Нельзя сделать цены более адекватными? Попытался подключить СберСпасибо, но система выдаёт ошибку 'Неверный формат данных'. Что это вообще значит? Жду уже 50 минут, и курьер еще не отправился.",6 6 29 12 45 35
"Фильтры в каталоге работают некорректно. Выбираю параметры, а результаты всё равно не соответствуют запросу. Ваша наценка на рыбу и морепродукты просто заоблачная. В рыбном отделе магазина гораздо дешевле. За опоздание хочу получить скидку. Возмутительное отношение. Часть заказа просто не доставили, не предупредив и не извинившись. Возврат денег затягивается, когда их вернут? При оплате через сайт постоянно требуется повторный ввод CVV-кода. Это очень неудобно и отнимает много времени. Я уже не уверен, что заказал то, что хотел. Все время приходится что-то добавлять.",47 12 37 7 49 48 9
"Почему у вас нет функции отслеживания курьера на карте? Это стандарт для современной доставки. Не логично, что акционные товары исключены из действия общей скидки. Почему бы не сделать доставку 24/7? Уверен, много людей были бы рады такой услуге. Мой заказ отменили из-за того, что курьер не приехал. Не могу понять, почему скидка на корзину не работает на все товары.",5 24 46 38 24
"Заказ опаздывает уже на 45 минут. Дайте хотя бы скидку за это безобразие! Можно ли автоматически получать скидки за опоздания? Очень неудобно, что цена постоянно меняется, пока я выбираю товары. Никогда не знаешь, сколько в итоге придется заплатить.",37 37 9
"Прошу компенсировать опоздание курьера. Ни разу не получил заказ в обещанное время. Всегда приходится ждать намного дольше заявленного. Почему не работает скидка 10% при оплате Google Pay?",37 2 26
"Почему курьер отменил доставку, когда я его ждал? Ничего хорошего сказать не могу, сплошной негатив. Уже несколько раз хотел сделать заказ, но вы не обслуживаете мой район. Почему так? Фрукты привезли испорченные, они уже начали портиться. Почему не работает скидка 10% при оплате Apple Pay? Овощи в плохом состоянии, они испорчены.",38 21 6 40 26 40
"Можно ли компенсировать задержку автоматически? Мой заказ был отменен из-за курьера. Почему нельзя сделать нормальный поиск по артикулу? Ввожу точный номер, а система выдаёт кучу ненужных товаров. Акции на всю корзину проходят слишком редко, сделайте их чаще. Паштет в банке вздулся. Глянул на срок - просрочен уже месяц как. Заказ собирают больше 35 минут, и курьер еще не отправился.",37 38 47 23 15 35
"Сливочное масло прогоркло. Заказ отменили по их вине, а деньги не хотят возвращать уже второй месяц. Просто кошмар какой-то!",27 49
"Очень не хватает возможности видеть курьера на карте. Это бы решило проблему с ожиданием. Обещали бонусы за первый заказ, но ничего не начислилось. Курьер отменил мой заказ, хотя он был на месте. Да, у вас удобно заказывать, но эти цены... Они просто неоправданно высокие. Нормальная доставка, без нареканий. При попытке оплаты картой на сайте постоянно выскакивает ошибка. Уже третий раз не могу оформить заказ!",5 26 38 12 20 48
