text,class
"Молоко оказалось прокисшим, хотя срок годности ещё не истёк.",27
"Помидоры все мятые и с пятнами.",27
"Хлеб уже черствый, хотя только вчера испечён.",27
"Яблоки пришли все в синяках и побитые.",27
"Йогурт расслоился и имеет странный запах.",27
"Огурцы вялые и пожелтевшие.",27
"Клубника наполовину гнилая.",27
"Сыр покрылся плесенью раньше срока годности.",27
"Морковь пришла сухая и вялая.",27
"Творог кислый и с комками.",27
"Персики все помятые и перезрелые.",27
"Салат в упаковке уже пожелтел.",27
"Колбаса имеет неприятный запах.",27
"Картофель проросший и в земле.",27
"Рыба несвежая и с душком.",27
"Виноград наполовину засох.",27
"Творожный сыр прокис раньше срока.",27
"Лук пришёл гнилой и мокрый.",27
"Яйца все с трещинами.",27
"Авокадо все чёрные внутри.",27
"Сметана с кислым запахом.",27
"Капуста вся в чёрных пятнах.",27
"Апельсины пришли сухие и безвкусные.",27
"Курица с неприятным запахом.",27
"Зелень вся пожелтевшая и вялая.",27
"Сливки свернулись при добавлении в кофе.",27
"Грибы все почерневшие и склизкие.",27
"Печенье размякло и потеряло форму.",27
"Лимоны все сморщенные и сухие.",27
"Творожная масса прокисла.",27
"Помело всё в коричневых пятнах.",27
"Свёкла пришла вялая и сморщенная.",27
"Сосиски с неприятным запахом.",27
"Киви все мягкие и помятые.",27
"Макароны в пачке слиплись в комок.",27
"Зефир весь растаял и потерял форму.",27
"Редис пришёл вялый и с длинными ростками.",27
"Творожные сырки все размякшие.",27
"Груши пришли твёрдые как камень.",27
"Сельдерей весь пожелтевший и вялый.",27
"Сливочное масло прогоркло.",27
"Мандарины все в плесени.",27
"Шпинат весь пожелтел и завял.",27
"Сырокопчёная колбаса покрылась белым налётом.",27
"Кабачки все мятые и с тёмными пятнами.",27
"Йогурт расслоился и пахнет кислятиной.",27
"Абрикосы пришли твёрдые и кислые.",27
"Укроп весь пожелтел и засох.",27
"Сыр рассыпался и крошится.",27
"У вас слишком мало видов молочных продуктов.",28
"Почему так мало выбора свежих овощей?",28
"Ассортимент фруктов оставляет желать лучшего.",28
"Очень скудный выбор мясных продуктов.",28
"Хлебобулочных изделий всего пара видов, это нормально?",28
"Почему так мало рыбы в продаже?",28
"Ассортимент круп совсем небольшой.",28
"Выбор замороженных полуфабрикатов очень ограничен.",28
"Всего несколько видов йогуртов, это всё?",28
"Почему у вас такие странные пакеты?",19
"А вы знаете, что у меня сегодня день рождения?",19
"Когда уже наступит весна?",19
"Почему помидоры красные?",19
"Сколько звёзд на небе?",19
"Какой цвет у радуги?",19
"Почему курица перешла дорогу?",19
"Сколько весит облако?",19
"Кто придумал колесо?",19
"Почему вода мокрая?",19
"Всё нормально, претензий нет.",20
"Сервис меня устраивает.",20
"Нормальная доставка, без нареканий.",20
"Всё в порядке, спасибо.",20
"Качество продуктов нормальное.",20
"Доставка работает нормально.",20
"Меня всё устраивает в вашем сервисе.",20
"Нормальный магазин, ничего особенного.",20
"Всё как обычно, нормально.",20
"Сойдёт, нормальное обслуживание.",20
"Ужасный сервис, больше не буду заказывать.",21
"Всё плохо, качество ниже некуда.",21
"Отвратительно, хуже не бывает.",21
"Кошмар какой-то, а не магазин.",21
"Полный провал, разочарован полностью.",21
"Ни одного положительного момента, всё плохо.",21
"Худший опыт покупок в моей жизни.",21
"Катастрофа, а не доставка продуктов.",21
"Всё из рук вон плохо, не рекомендую.",21
"Полный бардак, больше сюда ни ногой.",21
"Почему у вас нет скидок для постоянных клиентов?",22
"Хотелось бы видеть программу лояльности для частых покупателей.",22
"Где обещанные скидки на следующий заказ?",22
"Почему нет накопительной системы скидок?",22
"У других есть бонусы для постоянных клиентов, а у вас?",22
"Хочу получать скидку за частые заказы, это возможно?",22
"Когда введёте систему лояльности для постоянных покупателей?",22
"Почему нет особых условий для тех, кто заказывает регулярно?",22
"Хотелось бы видеть благодарность за постоянство в виде скидок.",22
"Где мои скидки за то, что я у вас постоянно заказываю?",22
"Нужно больше акций на популярные товары.",23
"Почему так мало промокодов?",23
"Хотелось бы видеть больше товаров со скидкой.",23
"Когда будут новые акции? Давно не было ничего интересного.",23
"Запускайте чаще акцию 'товар за 1 рубль'!",23
"Нужно больше скидок на всю корзину, а не на отдельные товары.",23
"Почему так редко бывают большие распродажи?",23
"Хочется видеть больше выгодных предложений.",23
"Сделайте больше акций выходного дня.",23
"Где глобальные сезонные скидки? У других магазинов есть!",23
"Почему скидка не применяется к товарам, которые уже со скидкой?",24
"Не понимаю, почему промокод действует только на определённые категории.",24
"Обидно, что корзинная скидка не распространяется на все товары.",24
"Зачем ограничивать действие промокода только на некоторые продукты?",24
"Почему нельзя применить скидку ко всему заказу сразу?",24
"Не логично, что акционные товары исключены из действия общей скидки.",24
"Раздражает, что корзинная скидка работает только на ограниченный ассортимент.",24
"Почему промокод не действует на товары из раздела 'Акции'?",24
"Странно, что скидка по карте лояльности не суммируется с другими акциями.",24
"Не понимаю, почему нельзя применить несколько скидок одновременно ко всем товарам.",24
"Не могу понять, какая именно скидка применилась в корзине.",25
"Почему скидка отображается только на некоторых товарах?",25
"Не ясно, почему итоговая сумма скидки меньше, чем я ожидал.",25
"Как узнать, на какие товары распространяется текущая акция?",25
"Не понимаю, почему промокод сработал не на все выбранные товары.",25
"Где можно посмотреть подробности о примененной скидке?",25
"Почему сумма скидки в корзине отличается от заявленной в акции?",25
"Не могу разобраться, какие товары участвуют в программе лояльности.",25
"Поддержка отвечает ужасно медленно. Жду ответа уже второй час!",30
"Сборщик положил химию для уборки вместе с продуктами. Это недопустимо!",31
"Мой заказ отменили без объяснения причин. А я ждал уже больше часа!",32
"Курьер совершенно не понимал по-русски. Как с ним общаться?",33
"Привезли абсолютно чужой заказ. Как такое вообще возможно?",34
"Бот поддержки не переключает на живого оператора, хотя я прошу об этом.",30
"Замороженные продукты пришли уже оттаявшими. Почему не используете термопакеты?",31
"Заказ отменили прямо перед доставкой. Я ждал больше двух часов!",32
"Курьер не мог прочитать адрес доставки на русском. Это недопустимо.",33
"Поддержка закрыла моё обращение, даже не разобравшись в проблеме.",30
"Сборщик перепутал товары. Вместо яблок положил груши.",31
"Мой заказ отменили без предупреждения. Очень неприятно.",32
"Курьер не мог объяснить, почему опоздал. Не говорит по-русски совсем.",33
"Привезли заказ соседа вместо моего. Как вы вообще работаете?",34
"Служба поддержки отвечает шаблонными фразами, не вникая в суть проблемы.",30
"Сборщик положил корм для кошек вместе с моими продуктами. Это гигиенично?",31
"Заказ отменили за 5 минут до обещанного времени доставки. Я ждал больше часа!",32
"Курьер не смог прочитать мою фамилию в заказе. Не знает русского алфавита?",33
"Оператор поддержки не смог решить мою проблему и просто закрыл обращение.",30
"Вместо свежих овощей положили подпорченные. Сборщик вообще смотрит, что кладёт?",31
"Заказ отменили без объяснения причин. Больше у вас заказывать не буду.",32
"Курьер не смог объяснить, где он находится. Абсолютно не говорит по-русски.",33
"Получил чужой заказ с совершенно другими продуктами. Как так?",34
"Почему нельзя дозвониться до поддержки? Автоответчик не решает проблему!",30
"Сборщик не положил в заказ несколько товаров, хотя в чеке они есть.",31
"Мой заказ отменили прямо перед доставкой. Я ждал уже больше двух часов!",32
"Курьер не понял, как пройти в подъезд, хотя инструкция была на русском.",33
"Заказ собирают уже больше часа. У Яндекс.Еды такого никогда не было!",36
"Прошло 40 минут, а заказ всё ещё на сборке. Почему так долго?",35
"Курьер опоздал на 30 минут. Хочу получить скидку на следующий заказ.",37
"Заказ опаздывает уже на 45 минут. Дайте хотя бы скидку за это безобразие!",37
"Самокат собирает заказы намного быстрее. Может, вам у них поучиться?",36
"Курьер ещё даже не выехал, а прошло уже 50 минут. Это нормально?",35
"Опоздание на час - это перебор. Хочу компенсацию в виде промокода на следующий заказ.",37
"Почему так долго собираете заказ? Прошло уже 35 минут, а статус не меняется.",35
"Закажу лучше в следующий раз в Утконосе. Они хотя бы вовремя доставляют.",36
"Опоздание больше чем на полчаса должно автоматически давать скидку. Внедрите такую систему!",37
"Курьер опаздывает. Хочу получить часть заказа бесплатно в качестве компенсации.",37
"Ещё 10 минут, и будет час с момента заказа. А ведь курьер даже не выехал ещё!",35
"В Ozon Express собрали бы и доставили уже три таких заказа за это время.",36
"Почему курьер ещё не взял заказ? Прошло уже 40 минут с момента оформления.",35
"Опоздание на 50 минут - это неуважение к клиентам. Верните деньги за доставку!",37
"Ставка курьеров слишком низкая. Нужно повысить оплату, чтобы мотивировать сотрудников.",44
"Обеспечьте курьеров тёплой униформой для работы зимой. Замёрзшие сотрудники не могут эффективно работать.",44
"Почему у курьеров нет оплачиваемых перерывов? Это необходимо для их здоровья и производительности.",44
"Нужно повысить компенсацию за использование личного транспорта. Текущие расценки не покрывают расходы курьеров.",44
"Обеспечьте курьеров качественными термосумками. Клиенты жалуются на остывшую еду.",44
"Увеличьте базовую ставку курьеров. Сейчас они вынуждены работать сверхурочно, чтобы заработать.",44
"Выдайте курьерам непромокаемую одежду для работы в дождь. Никто не хочет получать заказ от промокшего насквозь человека.",44
"Организуйте места отдыха для курьеров между заказами. Им негде погреться в холодное время года.",44
"Пересмотрите систему штрафов для курьеров. Сейчас она слишком жёсткая и несправедливая.",44
"Обеспечьте курьеров средствами защиты: масками, перчатками, антисептиками. Это важно для их безопасности.",44
"Увеличьте бонусы за работу в праздничные дни. Сейчас курьерам невыгодно выходить в эти дни.",44
"Выдайте курьерам удобную обувь. Они проводят весь день на ногах, это важно для их здоровья.",44
"Организуйте курсы повышения квалификации для курьеров. Это поможет им лучше справляться с работой.",44
"Пересмотрите нормативы времени на доставку. Сейчас курьеры вынуждены нарушать ПДД, чтобы успеть вовремя.",44
"Обеспечьте курьеров питанием во время смены. Длительная работа без еды влияет на их здоровье и настроение.",44
"Повысьте оплату за доставку в отдалённые районы. Сейчас курьеры отказываются от таких заказов.",44
"Выдайте курьерам солнцезащитные очки и кепки для работы летом. Это защитит их от перегрева.",44
"Пересмотрите систему распределения заказов. Сейчас некоторые курьеры получают меньше заказов, чем другие.",44
"Организуйте регулярные медосмотры для курьеров. Их здоровье важно для качественной работы.",44
"Увеличьте компенсацию за работу в ночное время. Сейчас ночные смены крайне невыгодны для курьеров.",44
"Пытаюсь подключить СберСпасибо уже неделю, но постоянно выскакивает ошибка. Служба поддержки не помогает.",45
"Хотел оплатить часть заказа бонусами СберСпасибо, но система почему-то их не видит. Очень неудобно!",45
"При регистрации в программе СберСпасибо требуется куча лишней информации. Зачем всё это усложнять?",45
"Накопил много бонусов СберСпасибо, а использовать их не могу - при оплате постоянно какие-то сбои.",45
"Не могу понять, как подключить СберСпасибо к своему аккаунту. Инструкции на сайте совершенно непонятные.",45
"Периодически пропадают все мои бонусы СберСпасибо. Потом возвращаются, но это очень нервирует.",45
"Почему нельзя оплатить бонусами СберСпасибо всю сумму заказа? Ограничения по использованию очень неудобные.",45
"Попытался подключить СберСпасибо, но система выдаёт ошибку 'Неверный формат данных'. Что это вообще значит?",45
"Начисление бонусов СберСпасибо происходит с большой задержкой. Иногда приходится ждать несколько дней.",45
"При попытке оплаты бонусами СберСпасибо часто вылетает ошибка. Приходится отменять заказ и делать заново.",45
"Не могу привязать карту к программе СберСпасибо. Техподдержка не отвечает уже третий день.",45
"Условия программы СберСпасибо постоянно меняются, невозможно уследить за всеми обновлениями.",45
"Хотел воспользоваться специальным предложением по СберСпасибо, но оно закончилось раньше указанного срока.",45
"Почему-то бонусы СберСпасибо не всегда отображаются в моём личном кабинете. Очень неудобно планировать покупки.",45
"Пытаюсь зарегистрироваться в программе СберСпасибо, но сайт постоянно выдаёт ошибку. Как это вообще работает?",45
"Накопленные бонусы СберСпасибо сгорели, хотя я не получал никаких уведомлений об этом. Очень разочарован.",45
"При оплате части заказа бонусами СберСпасибо система зависла. Теперь не могу ни оплатить, ни отменить заказ.",45
